数据量:1153
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0023		0.0000		878.233		0.692		0.025		0.011705		0.040
0.012		0.0056		0.0000		878.230		0.695		0.030		0.028228		0.080
0.014		0.0090		0.0000		878.226		0.699		0.035		0.044753		0.120
0.014		0.0121		0.0000		878.223		0.702		0.035		0.060588		0.160
0.016		0.0153		0.0000		878.220		0.705		0.040		0.076424		0.200
0.018		0.0185		0.0000		878.217		0.708		0.045		0.092259		0.240
0.020		0.0218		0.0000		878.213		0.711		0.050		0.108783		0.280
0.024		0.0249		0.0000		878.210		0.715		0.060		0.124618		0.320
0.026		0.0282		0.0000		878.207		0.718		0.065		0.141143		0.360
0.028		0.0318		0.0000		878.203		0.721		0.070		0.159043		0.400
0.032		0.0357		0.0000		878.200		0.725		0.080		0.178322		0.440
0.034		0.0391		0.0000		878.196		0.729		0.085		0.195534		0.480
0.038		0.0421		0.0000		878.193		0.732		0.095		0.210681		0.520
0.042		0.0454		0.0000		878.190		0.735		0.105		0.227205		0.560
0.046		0.0486		0.0000		878.187		0.738		0.115		0.243041		0.600
0.050		0.0519		0.0000		878.183		0.742		0.125		0.259565		0.640
0.054		0.0552		0.0000		878.180		0.745		0.135		0.276088		0.680
0.058		0.0584		0.0000		878.177		0.748		0.145		0.291924		0.720
0.062		0.0616		0.0000		878.174		0.751		0.155		0.307760		0.760
0.068		0.0650		0.0000		878.170		0.755		0.170		0.324972		0.800
0.072		0.0688		0.0000		878.166		0.758		0.180		0.344250		0.840
0.078		0.0723		0.0000		878.163		0.762		0.195		0.361463		0.880
0.086		0.0756		0.0000		878.160		0.765		0.215		0.377986		0.920
0.092		0.0789		0.0000		878.156		0.769		0.230		0.394511		0.960
0.098		0.0821		0.0000		878.153		0.772		0.245		0.410346		1.000
0.104		0.0854		0.0000		878.150		0.775		0.260		0.426870		1.040
0.112		0.0885		0.0000		878.147		0.778		0.280		0.442705		1.080
0.120		0.0918		0.0000		878.143		0.781		0.300		0.459230		1.120
0.126		0.0950		0.0000		878.140		0.785		0.315		0.475065		1.160
0.134		0.0983		0.0000		878.137		0.788		0.335		0.491589		1.200
0.144		0.1019		0.0000		878.133		0.791		0.360		0.509490		1.240
0.154		0.1058		0.0000		878.129		0.795		0.385		0.528768		1.280
0.164		0.1091		0.0000		878.126		0.799		0.410		0.545292		1.320
0.174		0.1122		0.0000		878.123		0.802		0.435		0.561128		1.360
0.184		0.1155		0.0000		878.120		0.805		0.460		0.577652		1.400
0.194		0.1186		0.0000		878.117		0.808		0.485		0.592799		1.440
0.204		0.1220		0.0000		878.113		0.812		0.510		0.610011		1.480
0.214		0.1252		0.0000		878.110		0.815		0.535		0.625846		1.520
0.226		0.1285		0.0000		878.107		0.818		0.565		0.642371		1.560
0.236		0.1316		0.0000		878.104		0.821		0.590		0.658206		1.600
0.248		0.1354		0.0000		878.100		0.825		0.620		0.676796		1.640
0.262		0.1388		0.0000		878.096		0.828		0.655		0.694008		1.680
0.274		0.1422		0.0000		878.093		0.832		0.685		0.711221		1.720
0.288		0.1457		0.0000		878.090		0.835		0.720		0.728433		1.760
0.300		0.1489		0.0000		878.086		0.838		0.750		0.744269		1.800
0.312		0.1522		0.0000		878.083		0.842		0.780		0.760792		1.840
0.324		0.1553		0.0000		878.080		0.845		0.810		0.776628		1.880
0.334		0.1586		0.0000		878.077		0.848		0.835		0.793152		1.920
0.346		0.1618		0.0000		878.073		0.851		0.865		0.808988		1.960
0.356		0.1650		0.0000		878.070		0.855		0.890		0.824823		2.000
0.368		0.1685		0.0000		878.067		0.858		0.920		0.842724		2.040
0.380		0.1723		0.0000		878.063		0.862		0.950		0.861314		2.080
0.396		0.1758		0.0000		878.059		0.865		0.990		0.879214		2.120
0.414		0.1790		0.0000		878.056		0.869		1.035		0.895050		2.160
0.430		0.1822		0.0000		878.053		0.872		1.075		0.910886		2.200
0.446		0.1853		0.0000		878.050		0.875		1.115		0.926721		2.240
0.462		0.1888		0.0000		878.046		0.878		1.155		0.943933		2.280
0.478		0.1920		0.0000		878.043		0.882		1.195		0.959769		2.320
0.492		0.1951		0.0000		878.040		0.885		1.230		0.975605		2.360
0.508		0.1984		0.0000		878.037		0.888		1.270		0.992129		2.400
0.524		0.2019		0.0000		878.033		0.891		1.310		1.009341		2.440
0.540		0.2054		0.0000		878.030		0.895		1.350		1.027242		2.480
0.556		0.2090		0.0000		878.026		0.899		1.390		1.045143		2.520
0.574		0.2125		0.0000		878.023		0.902		1.435		1.062356		2.560
0.592		0.2156		0.0000		878.020		0.905		1.480		1.078191		2.600
0.610		0.2188		0.0000		878.016		0.908		1.525		1.094027		2.640
0.626		0.2221		0.0000		878.013		0.912		1.565		1.110550		2.680
0.640		0.2253		0.0000		878.010		0.915		1.600		1.126386		2.720
0.654		0.2284		0.0000		878.007		0.918		1.635		1.142221		2.760
0.666		0.2317		0.0000		878.003		0.921		1.665		1.158746		2.800
0.680		0.2351		0.0000		878.000		0.925		1.700		1.175269		2.840
0.696		0.2386		0.0000		877.997		0.928		1.740		1.193171		2.880
0.714		0.2424		0.0000		877.993		0.932		1.785		1.211760		2.920
0.732		0.2458		0.0000		877.989		0.935		1.830		1.228973		2.960
0.752		0.2490		0.0000		877.986		0.939		1.880		1.244808		3.000
0.770		0.2523		0.0000		877.983		0.942		1.925		1.261332		3.040
0.786		0.2556		0.0000		877.980		0.945		1.965		1.277856		3.080
0.802		0.2587		0.0000		877.976		0.948		2.005		1.293691		3.120
0.820		0.2619		0.0000		877.973		0.952		2.050		1.309527		3.160
0.836		0.2652		0.0000		877.970		0.955		2.090		1.326051		3.200
0.856		0.2684		0.0000		877.967		0.958		2.140		1.341887		3.240
0.874		0.2720		0.0000		877.963		0.962		2.185		1.359788		3.280
0.892		0.2757		0.0000		877.960		0.965		2.230		1.378377		3.320
0.912		0.2791		0.0000		877.956		0.969		2.280		1.395589		3.360
0.934		0.2824		0.0000		877.953		0.972		2.335		1.412114		3.400
0.954		0.2856		0.0000		877.950		0.975		2.385		1.427949		3.440
0.972		0.2889		0.0000		877.946		0.978		2.430		1.444473		3.480
0.990		0.2921		0.0000		877.943		0.982		2.475		1.460308		3.520
