数据量:1685
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0021		0.0000		3961.960		3.042		0.025		0.010327		0.040
0.010		0.0052		0.0000		3961.957		3.045		0.025		0.026163		0.080
0.010		0.0085		0.0000		3961.953		3.048		0.025		0.042686		0.120
0.012		0.0117		0.0000		3961.950		3.052		0.030		0.058522		0.160
0.012		0.0150		0.0000		3961.947		3.055		0.030		0.075046		0.200
0.014		0.0186		0.0000		3961.943		3.058		0.035		0.092947		0.240
0.014		0.0223		0.0000		3961.939		3.062		0.035		0.111537		0.280
0.016		0.0257		0.0000		3961.936		3.066		0.040		0.128750		0.320
0.016		0.0289		0.0000		3961.933		3.069		0.040		0.144585		0.360
0.018		0.0322		0.0000		3961.930		3.072		0.045		0.161109		0.400
0.018		0.0354		0.0000		3961.927		3.075		0.045		0.176945		0.440
0.018		0.0387		0.0000		3961.923		3.079		0.045		0.193468		0.480
0.020		0.0419		0.0000		3961.920		3.082		0.050		0.209304		0.520
0.022		0.0450		0.0000		3961.917		3.085		0.055		0.225140		0.560
0.024		0.0483		0.0000		3961.914		3.088		0.060		0.241663		0.600
0.024		0.0518		0.0000		3961.910		3.092		0.060		0.258876		0.640
0.026		0.0555		0.0000		3961.906		3.095		0.065		0.277466		0.680
0.028		0.0592		0.0000		3961.903		3.099		0.070		0.296055		0.720
0.030		0.0624		0.0000		3961.899		3.102		0.075		0.311891		0.760
0.032		0.0655		0.0000		3961.896		3.105		0.080		0.327725		0.800
0.034		0.0689		0.0000		3961.893		3.109		0.085		0.344250		0.840
0.038		0.0720		0.0000		3961.890		3.112		0.095		0.360085		0.880
0.040		0.0752		0.0000		3961.887		3.115		0.100		0.375921		0.920
0.042		0.0785		0.0000		3961.883		3.118		0.105		0.392445		0.960
0.044		0.0818		0.0000		3961.880		3.122		0.110		0.408969		1.000
0.046		0.0851		0.0000		3961.877		3.125		0.115		0.425493		1.040
0.050		0.0888		0.0000		3961.873		3.129		0.125		0.444082		1.080
0.054		0.0924		0.0000		3961.869		3.132		0.135		0.461984		1.120
0.058		0.0957		0.0000		3961.866		3.136		0.145		0.478507		1.160
0.060		0.0990		0.0000		3961.863		3.139		0.150		0.495031		1.200
0.064		0.1022		0.0000		3961.860		3.142		0.160		0.510867		1.240
0.068		0.1055		0.0000		3961.856		3.145		0.170		0.527390		1.280
0.074		0.1086		0.0000		3961.853		3.149		0.185		0.543226		1.320
0.078		0.1120		0.0000		3961.850		3.152		0.195		0.559751		1.360
0.082		0.1151		0.0000		3961.847		3.155		0.205		0.575585		1.400
0.088		0.1184		0.0000		3961.844		3.158		0.220		0.592110		1.440
0.094		0.1220		0.0000		3961.840		3.162		0.235		0.610011		1.480
0.100		0.1257		0.0000		3961.836		3.166		0.250		0.628600		1.520
0.106		0.1292		0.0000		3961.833		3.169		0.265		0.645813		1.560
0.114		0.1323		0.0000		3961.830		3.172		0.285		0.661649		1.600
0.122		0.1355		0.0000		3961.826		3.175		0.305		0.677484		1.640
0.128		0.1388		0.0000		3961.823		3.179		0.320		0.694008		1.680
0.136		0.1421		0.0000		3961.820		3.182		0.340		0.710531		1.720
0.144		0.1453		0.0000		3961.817		3.185		0.360		0.726367		1.760
0.154		0.1486		0.0000		3961.813		3.188		0.385		0.742891		1.800
0.162		0.1517		0.0000		3961.810		3.192		0.405		0.758727		1.840
0.172		0.1553		0.0000		3961.806		3.195		0.430		0.776628		1.880
