数据量:1019
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0012		0.0000		876.989		1.275		0.025		0.006196		0.040
0.010		0.0044		0.0000		876.986		1.278		0.025		0.022032		0.080
0.010		0.0077		0.0000		876.982		1.282		0.025		0.038556		0.120
0.010		0.0112		0.0000		876.979		1.285		0.025		0.055768		0.160
0.012		0.0149		0.0000		876.975		1.289		0.030		0.074358		0.200
0.012		0.0186		0.0000		876.971		1.293		0.030		0.092947		0.240
0.012		0.0218		0.0000		876.968		1.296		0.030		0.108783		0.280
0.014		0.0249		0.0000		876.965		1.299		0.035		0.124618		0.320
0.014		0.0281		0.0000		876.962		1.302		0.035		0.140454		0.360
0.014		0.0314		0.0000		876.959		1.305		0.035		0.156978		0.400
0.014		0.0346		0.0000		876.955		1.309		0.035		0.172814		0.440
0.016		0.0379		0.0000		876.952		1.312		0.040		0.189338		0.480
0.016		0.0410		0.0000		876.949		1.315		0.040		0.205173		0.520
0.018		0.0445		0.0000		876.945		1.318		0.045		0.222386		0.560
0.018		0.0481		0.0000		876.942		1.322		0.045		0.240287		0.600
0.020		0.0518		0.0000		876.938		1.326		0.050		0.258876		0.640
0.020		0.0551		0.0000		876.935		1.329		0.050		0.275400		0.680
0.022		0.0584		0.0000		876.932		1.332		0.055		0.291924		0.720
0.024		0.0616		0.0000		876.928		1.336		0.060		0.307760		0.760
0.024		0.0649		0.0000		876.925		1.339		0.060		0.324283		0.800
0.026		0.0680		0.0000		876.922		1.342		0.065		0.340119		0.840
0.028		0.0712		0.0000		876.919		1.345		0.070		0.355955		0.880
0.030		0.0744		0.0000		876.916		1.348		0.075		0.371790		0.920
0.032		0.0777		0.0000		876.912		1.352		0.080		0.388314		0.960
0.034		0.0814		0.0000		876.909		1.355		0.085		0.406904		1.000
0.036		0.0851		0.0000		876.905		1.359		0.090		0.425493		1.040
0.040		0.0885		0.0000		876.901		1.363		0.100		0.442706		1.080
0.042		0.0917		0.0000		876.898		1.366		0.105		0.458541		1.120
0.046		0.0949		0.0000		876.895		1.369		0.115		0.474377		1.160
0.050		0.0982		0.0000		876.892		1.372		0.125		0.490900		1.200
0.054		0.1013		0.0000		876.889		1.375		0.135		0.506736		1.240
0.058		0.1047		0.0000		876.885		1.379		0.145		0.523260		1.280
0.062		0.1078		0.0000		876.882		1.382		0.155		0.539095		1.320
0.066		0.1111		0.0000		876.879		1.385		0.165		0.555620		1.360
0.072		0.1146		0.0000		876.875		1.389		0.180		0.572832		1.400
0.076		0.1183		0.0000		876.872		1.392		0.190		0.591422		1.440
0.082		0.1219		0.0000		876.868		1.396		0.205		0.609323		1.480
0.090		0.1252		0.0000		876.865		1.399		0.225		0.625846		1.520
0.096		0.1283		0.0000		876.862		1.402		0.240		0.641682		1.560
0.102		0.1315		0.0000		876.858		1.406		0.255		0.657517		1.600
0.110		0.1348		0.0000		876.855		1.409		0.275		0.674042		1.640
0.116		0.1380		0.0000		876.852		1.412		0.290		0.689877		1.680
0.124		0.1413		0.0000		876.849		1.415		0.310		0.706401		1.720
0.132		0.1444		0.0000		876.846		1.418		0.330		0.722237		1.760
0.138		0.1479		0.0000		876.842		1.422		0.345		0.739449		1.800
0.148		0.1515		0.0000		876.839		1.425		0.370		0.757350		1.840
0.156		0.1553		0.0000		876.835		1.429		0.390		0.776628		1.880
0.166		0.1585		0.0000		876.831		1.432		0.415		0.792463		1.920
0.176		0.1618		0.0000		876.828		1.436		0.440		0.808988		1.960
0.186		0.1650		0.0000		876.825		1.439		0.465		0.824823		2.000
